srcip,srcport,dstip,dstport,proto,total_fpackets,total_fvolume,total_bpackets,total_bvolume,min_fpktl,mean_fpktl,max_fpktl,std_fpktl,min_bpktl,mean_bpktl,max_bpktl,std_bpktl,min_fiat,mean_fiat,max_fiat,std_fiat,min_biat,mean_biat,max_biat,std_biat,duration,min_active,mean_active,max_active,std_active,min_idle,mean_idle,max_idle,std_idle,sflow_fpackets,sflow_fbytes,sflow_bpackets,sflow_bbytes,fpsh_cnt,bpsh_cnt,furg_cnt,burg_cnt,total_fhlen,total_bhlen,dscp,classe
1,52208,192.168.1.1,53,17,1,69,1,85,69,69,69,0,85,85,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69,1,85,0,0,0,0,69,85,0,0
1,52266,192.168.1.1,53,17,2,142,2,198,71,71,71,0,99,99,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,142,2,198,0,0,0,0,142,198,0,0
1,61677,192.168.1.1,53,17,1,73,1,89,73,73,73,0,89,89,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,73,1,89,0,0,0,0,73,89,0,0
1,56500,192.168.1.1,53,17,1,61,1,77,61,61,61,0,77,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,61,1,77,0,0,0,0,61,77,0,0
1,51590,192.168.1.1,53,17,1,60,1,138,60,60,60,0,138,138,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,1,138,0,0,0,0,60,138,0,0
1,52017,192.168.1.1,53,17,2,128,2,256,64,64,64,0,128,128,128,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,2,128,2,256,0,0,0,0,128,256,0,0
1,65529,192.168.1.1,53,17,1,82,1,98,82,82,82,0,98,98,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,82,1,98,0,0,0,0,82,98,0,0
1,59889,192.168.1.1,53,17,1,63,1,115,63,63,63,0,115,115,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63,1,115,0,0,0,0,63,115,0,0
1,8146,94.130.143.162,443,6,34,3599,34,10420,40,105,988,184,40,306,1492,372,1,1,9,2,2,1,9,2,47,47,47,47,0,0,0,0,0,34,3599,34,10420,11,27,0,0,1396,1372,0,0
1,8163,40.69.223.39,443,6,13,1865,12,7627,40,143,783,204,40,635,1492,664,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,13,1865,12,7627,6,6,0,0,532,492,0,0
1,64179,192.168.1.1,53,17,1,66,1,82,66,66,66,0,82,82,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,66,1,82,0,0,0,0,66,82,0,0
